Method,Overall_auprc,Overall_iou,Overall_f1,Overall_accuracy,Overall_policy_js,Overall_evidence_distance,TGD_auprc,TGD_iou,TGD_f1,TGD_accuracy,TGD_policy_js,TGD_evidence_distance,Remaining_auprc,Remaining_iou,Remaining_f1,Remaining_accuracy,Remaining_policy_js,Remaining_evidence_distance,OmegaTR_auprc,OmegaTR_iou,OmegaTR_f1,OmegaTR_accuracy,OmegaTR_policy_js,OmegaTR_evidence_distance
S0,0.8798365978267039,0.6291008963872808,0.7723289499551982,0.9693852638711735,0.0328829251229763,0.01376915629953146,0.8882054161819669,0.6414018114566625,0.7815293036623852,0.9390921353157476,0.03497158735990524,0.01976332627236843,0.8778399011766526,0.6262099280998771,0.7701464776970571,0.972472205441206,0.03276139497756958,0.013365769758820534,0.4640252490396789,0.2245529790862295,0.36675093675459924,0.3769418215047213,0.037128180265426636,0.03799297660589218
S1,0.8803844534786877,0.6244924217642501,0.7688462062013316,0.9693598177273142,0.009248597547411919,0.06230911612510681,0.8879989017265717,0.6322391261721223,0.7746893356310997,0.9386486127653679,0.008527212776243687,0.0481099970638752,0.8785710301602361,0.6226862372294195,0.7674758297968219,0.9724893622736744,0.009304857812821865,0.06335015594959259,0.4841245033578301,0.2060935507682665,0.3417538345911693,0.3994314143567875,0.00733311427757144,0.028113188222050667
S2,0.8887041971440554,0.6449744110439771,0.784175611025204,0.970725724022868,0.008894391357898712,0.005385055672377348,0.8962819523675429,0.6547278752747068,0.7913420459465087,0.941662834349619,0.008180968463420868,0.006856775842607021,0.8868987673855528,0.6426940593677067,0.7824878304224361,0.9736873013361349,0.008949357084929943,0.005283546168357134,0.5261068978576082,0.2901432402378899,0.44978453247188016,0.44903035841202155,0.006920128595083952,0.010204676538705826
