method,region,threshold,pixels,positive_pixels,accuracy,errors,error_rate,iou,f1,precision,recall,auprc,tp,fp,fn,tn
Vanilla KD,Overall,0.5,11239424,814176,0.8808399789882471,1339290,0.11916002101175291,0.3570157009747799,0.5261776970383296,0.3695297631174853,0.9133627127304058,0.6387668875933455,743638,1268752,70538,9156496
Vanilla KD,TGD,0.5,1039406,153884,0.7831915536373659,225352,0.21680844636263405,0.38349246299892253,0.5543831575906037,0.3984321706307586,0.9109329105039567,0.6417636680346017,140178,211646,13706,673876
Vanilla KD,Remaining,0.5,10200018,660292,0.89079058487936,1113938,0.10920941512063999,0.3513804022131134,0.5200318117486102,0.3634062120987641,0.9139289889927348,0.6384518394849085,603460,1057106,56832,8482620
