method,region,threshold,pixels,positive_pixels,accuracy,errors,error_rate,iou,f1,precision,recall,auprc,tp,fp,fn,tn
DIS2-port,Overall,0.5,11239424,814176,0.9592867926327897,457593,0.04071320736721028,0.6270626578549041,0.770791033643662,0.6508101249762046,0.9450094328498881,0.8963044374337841,769404,412821,44772,10012427
DIS2-port,TGD,0.5,1039406,153884,0.9184899837022299,84722,0.08151001629777008,0.6334205914804044,0.7755756121111674,0.6546390369548593,0.951320475163048,0.9023018359793571,146393,77231,7491,808291
DIS2-port,Remaining,0.5,10200018,660292,0.963444084118283,372871,0.03655591588171707,0.6255871679576434,0.7696753226929529,0.6499169101638674,0.9435386162485545,0.8949085730063836,623011,335590,37281,9204136
