Method,Overall_auprc,Overall_iou,Overall_f1,Overall_accuracy,Overall_policy_js,Overall_evidence_distance,TGD_auprc,TGD_iou,TGD_f1,TGD_accuracy,TGD_policy_js,TGD_evidence_distance,Remaining_auprc,Remaining_iou,Remaining_f1,Remaining_accuracy,Remaining_policy_js,Remaining_evidence_distance
SG0,0.8814812066575134,0.6321291050290995,0.7746067379421819,0.9697056539552205,,,0.8896098287192571,0.6393923057511505,0.7800357479215801,0.9395067952272741,,,0.87957714978944,0.6304432327664158,0.7733396858540615,0.9727829892064896,,
SG10,0.8808057381243228,0.6325563563209905,0.774927431831547,0.9696432842110059,,,0.8957284336386123,0.6522072585122023,0.7894981105300837,0.9415377629145878,,,0.8772271159674133,0.6280018094097182,0.7715001319205548,0.9725073034184841,,
CG0,0.8947777451456613,0.6564854233828317,0.7926244444855756,0.9714916885420463,,,0.9045190428385608,0.6703592627657807,0.8026527867881289,0.9440593954624084,,,0.8924299163359248,0.6532499881010845,0.7902615922365952,0.9742871041992279,,
CG10,0.9012386701699296,0.6662374824253288,0.7996909027652755,0.9724158462213011,,,0.9157524346998378,0.6884311379986899,0.8154684171502514,0.9476268176246818,,,0.8977275025769957,0.6610958994928146,0.7959755912396105,0.9749419069652622,,
