scene_id,row_order,method,AUPRC,IoU,F1,TGD_AUPRC,TGD_IoU,TGD_F1
000618_asc,1,SO,0.6785332626592628,0.403435114502277,0.5749252059566392,0.6087312666611762,0.3503562945347366,0.5189094059500655
000618_asc,1,S2,0.6947555762316021,0.4346895074930953,0.6059701442939941,0.625750267025502,0.3786622443317929,0.5493183591245518
000618_asc,1,CG10,0.7311627610636697,0.42674139311278325,0.5982042601387504,0.6735039343557943,0.3684879288413692,0.5385329573168358
000662_asc,2,SO,0.7849012703903547,0.500441826213548,0.6670592805151592,0.6401621969936251,0.36401098900848894,0.5337361483390533
000662_asc,2,S2,0.7970696557796163,0.5283290192679657,0.6913812520885083,0.6559331590699911,0.40454545454282764,0.5760517750179768
000662_asc,2,CG10,0.8121766904400327,0.5528501861914843,0.7120457430332109,0.6835335596621099,0.42847682118921543,0.5999072737144195
000664_asc,3,SO,0.9058831488628658,0.6444051304703918,0.7837547018796438,0.9558304257467682,0.7325102880608196,0.8456056957397963
000664_asc,3,S2,0.910477649590135,0.6813372831118014,0.8104706720710937,0.9584430971386895,0.7723631508626678,0.8715630835101027
000664_asc,3,CG10,0.9204253838124687,0.699141630898287,0.822935079619334,0.9661049139695492,0.7910750507045905,0.8833522033789999
000096_desc,4,SO,0.9932563859919171,0.9132369299119774,0.9546511577807396,,0.0,0.0
000096_desc,4,S2,0.9938810301287601,0.9190687361317176,0.9578278401655075,,0.0,0.0
000096_desc,4,CG10,0.9927686120755377,0.9228187919359864,0.9598603789342195,,0.0,0.0
