Method,Overall auprc,Overall iou,Overall f1,TGD auprc,TGD iou,TGD f1,Remaining auprc,Remaining iou,Remaining f1,evidence_status,source_package,eligible_for_final_v2_main_ranking
SO-reference,0.87963963043849,0.6334734110435277,0.7756152046236099,0.8882809898270467,0.6439752169643803,0.7834366433535325,0.8775765160314131,0.6310218963679844,0.773774887650066,historical protocol-matched reference; final-v2 SO row remains MISSING,windows_main/da_search/grsl_assets_v1,no
DIS2,0.8733278861052558,0.6176884604656225,0.7636680010378782,0.8802052589506243,0.6290008317855685,0.7722535378294924,,,,historical CSV only; current checkpoint and pixel cache missing,windows_main/da_search/grsl_assets_v1,no
Vanilla KD,0.8303026537721968,0.5818131471710062,0.7356281546372924,0.8393407652646268,0.5918920141314046,0.7436333682191723,,,,historical CSV only; current checkpoint and pixel cache missing,windows_main/da_search/grsl_assets_v1,no
Boehm SAR U-Net++,0.7933345272592108,0.542581561464381,0.7034721160936809,0.8137868094859655,0.5576001597231156,0.7159734189600696,0.788787525385852,0.5391131609315315,0.7005503829167594,historical local prediction cache; not re-evaluated under final-v2 protocol,windows_main/da_search/grsl_assets_v1,no
CDNetE Early Fusion,0.5917120464706392,0.3241312252947934,0.4895756795890699,0.5948602519181397,0.33006504585197644,0.49631413702325555,0.5906666118015343,0.3226914802649835,0.48793158805970793,historical local prediction cache; not re-evaluated under final-v2 protocol,windows_main/da_search/grsl_assets_v1,no
MFEWF adapted,0.6113183550437414,0.35155012909217764,0.520217664633641,0.6058484334201981,0.3467370087048089,0.5149290518329069,0.6117089235583375,0.35270783685215895,0.5214841284338978,historical local prediction cache; not re-evaluated under final-v2 protocol,windows_main/da_search/grsl_assets_v1,no
S0,0.8965449649798376,0.6551538735028644,0.7916531264860183,0.9035665855949775,0.6633539942518402,0.7976101207619837,0.8948774186052421,0.6532432010843752,0.7902566259404723,legacy raw-feature-bypass Student; excluded from final-v2 claims,windows_main/da_search/grsl_assets_v1,no
